Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Silent Night,Faster Pussy cat,2003,0.542898743,252.05506,87.002
L'antarctique,3 Gars Su'l Sofa,2007,nan,68.96281,62.294
On the Surface,Stemm,2005,0.473346541,250.98404,135.598
Le mauvais coton,Brigitte Fontaine,1990,0.246865094,195.10812,164.452
Gnostalgia,White Willow,2000,0.352232225,617.53424,124.824
Britannia,Sunscreem,2009,0,220.682,123.958
Battery,Santa Claws and the Naughty But Nice Orchestra,2007,nan,225.59302,130.019
White Baby,Giant Drag,2010,0.503752061,213.78567,134.899
If I Get to the Borderline,J. Tillman,2008,0.571729009,189.54404,65.13
Do You Know,The Cranberries,2001,0.609188864,189.12608,85.202
Júrame,Alejandro Fernandez,2002,0.442094857,262.97424,80.525
A Man Without a Country,Stinking Lizaveta,2009,0.355285536,152.97261,140.703
O Sonho,Madredeus,1997,nan,308.68853,165.479
From A Window,Billy J. Kramer,1979,nan,118.07302,131.334
Somewhere Along The Way (Mono) (1998 Digital Remaster),Cliff Richard,1959,nan,160.02567,86.888
What's A Lonely Girl To Do,Roger Creager,2000,0.253834736,252.3424,108.903
Year One Now,Entombed,2001,0.669413098,116.92363,169.598
Poontang,The Undisputed Truth,1975,0.379848397,217.83465,197.557
Thank You,Bebe Winans,1997,0.508289106,259.082,108.054
Knowledge,Operation Ivy,1989,nan,102.1122,183.497
Victim Of Love,Erasure,1987,0.33888672,222.22322,109.581
Yesterday's Headlines,Good Riddance,2001,nan,146.23302,186.453
Bones,Claw Boys Claw,1994,nan,281.57342,111.794
Tell Me Mama,"Willie ""Big Eyes"" Smith",1995,nan,212.53179,128.821
Movin' On Up,Half Japanese,1997,0.407901717,136.64608,135.585
Take Your Time Rag,Furry Lewis,1999,0,152.842,102.633
Vågorna,Patrik Isaksson,1999,nan,251.8722,179.97
Cancerboy on Hash,DD/MM/YYYY,2005,nan,153.28608,100.138
Tomorrow's Gonna Be,Continental Drifters,2001,0,243.01669,104.148
Rowdy,Clint Eastwood,2005,0.430877978,164.23138,171.721
Tomorrow (Live Version),The Durutti Column,1985,0.480934213,244.21832,146.155
